Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Dune: Part Two,2024,Denis Villeneuve,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola Gáspár', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan-Carter', 'Elbooz Omar Ahmed Fathie', 'Abdelkarim Hussein Seli Mohamed Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond Bóta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'Kincsö Pethö', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El-Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar-El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'Zdeněk Dvořáček', 'Billy Clements', 'Anton Saunders', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Tony Cook', 'Gábor Szemán', 'Jonathan Gunning', 'Will Irvine', 'Alan Mehdizadeh', 'Rex Adams', 'Molly Mcowan', 'Ana Cilas', 'Kajsa Mohammar', 'Sára Bácsfalvi', 'Zsófia Kocsis', 'Matthew Sim', 'Steve Wall', 'Italo Amerighi', 'Tim Hilborne', 'Cecile Sinclair', 'Tracy Coogan', 'Zoe Kata Kaska', 'Jimmy Walker', 'Rand Faris', 'Fouad Humaidan', 'Manaf Irani', 'Dora Kápolnai-Schvab', 'Joelle', 'Anya Taylor-Joy', 'Peter Sztojanov Jr.', 'Alexandra Tóth', 'Serhat Metin']",4.48,nan,"['Adventure', 'Science Fiction']",167,['USA'],English,['English'],['Legendary Pictures'],1635392,264732,769146,48000,1580,2676,1790,8803,12252,49838,83226,287369,339617,651555,1438706,https://letterboxd.com/film/dune-part-two/
Challengers,2024,Luca Guadagnino,"['Zendaya', ""Josh O'Connor"", 'Mike Faist', 'Darnell Appling', 'Bryan Doo', 'Shane T Harris', 'Nada Despotovich', 'Joan Mcshane', 'Chris Fowler', 'Mary Joe Fernández', 'A.J. Lister', 'Connor Aulson', 'Doria Bramante', 'Christine Dye', 'James Sylva', 'Kenneth A. Osherow', 'Kevin Collins', 'Burgess Byrd', 'Jason Tong', 'Hudson Rivera', 'Noah Eisenberg', 'Emma Davis', 'Naheem Garcia', 'Alex Bancila', 'Jake Jensen', 'Konrad Ryba', 'Hailey Gates', 'Andrew Rogers', 'Beverly Kristenson Helton', 'Brad Gilbert', 'Sam Xu', 'Caleb Schneider', 'Sam Arnold']",4.14,nan,"['Drama', 'Romance']",132,"['Italy', 'USA']",English,['English'],"['Pascal Pictures', 'Why Are You Acting? Productions', 'Frenesy Film', 'Metro-Goldwyn-Mayer']",660790,115933,286119,12000,1383,2454,2221,8953,11977,38543,63935,168042,136222,161122,594852,https://letterboxd.com/film/challengers/
Robot Dreams,2023,Pablo Berger,"['Ivan Labanda', 'Tito Trifol', 'Rafa Calvo', 'José García Tos', 'José Luis Mediavilla', 'Graciela Molina', 'Esther Solans']",4.02,nan,"['Comedy', 'Science Fiction', 'Animation', 'Drama']",102,"['France', 'Spain']",No spoken language,['No spoken language'],"['Arcadia Motion Pictures', 'LokizFilms', 'Noodles Production', 'Les films du Worso']",100910,34271,49311,1200,64,184,164,760,1458,6641,13318,31020,15779,20801,90189,https://letterboxd.com/film/robot-dreams/
La Chimera,2023,Alice Rohrwacher,"[""Josh O'Connor"", 'Carol Duarte', 'Alba Rohrwacher', 'Isabella Rossellini', 'Vincenzo Nemolato', 'Lou Roy-Lecollinet', 'Giuliano Mantovani', 'Gian Piero Capretto', 'Melchiorre Pala', 'Ramona Fiorini', 'Luca Gargiullo', 'Yle Vianello', 'Barbara Chiesa', 'Elisabetta Perotto', 'Chiara Pazzaglia', 'Francesca Carrain', 'Luciano Vergaro', 'Carlo Tarmati', 'Valentino Santagati', 'Piero Crucitti', 'Milutin Dapčević', 'Luca Chikovani', 'Julia Vella', 'Agnese Graziani', 'Alessandro Genovesi', 'Cristiano Piazzati', 'Sofia Stangherlin', 'Marianna Pantani', 'Maria Alexandra Lungu', 'Paolo Bizzarri', 'Claudio Fabbri', 'Monaldo Gazzella', 'Sofija Zobina', 'Silvia Lucarini', 'Pancrazio Capretto', 'Elisabetta Anella', 'Maddalena Baiocco', 'Leila Nuniz', 'Giulia Caccavello', 'Franco Barzi', 'Fabrizio Pierini', 'Andrea Pettirossi', 'Maria Pia Clementi', 'Anna DeLuca']",4.04,nan,"['Comedy', 'Adventure', 'Drama', 'Fantasy']",133,"['France', 'Italy', 'Switzerland', 'Turkey']",Italian,"['Italian', 'English', 'Portuguese', 'French']","['Tempesta', 'RAI Cinema', 'Ad Vitam Production', 'Amka Films', 'ARTE France Cinéma', 'TRT Sinema']",83747,26833,35045,2000,47,178,227,967,1583,5601,9944,22963,12705,12713,66928,https://letterboxd.com/film/la-chimera/
Civil War,2024,Alex Garland,"['Kirsten Dunst', 'Wagner Moura', 'Cailee Spaeny', 'Stephen McKinley Henderson', 'Nelson Lee', 'Nick Offerman', 'Jefferson White', 'Evan Lai', 'Vince Pisani', 'Justin James Boykin', 'Jess Matney', 'Greg Hill', 'Edmund Donovan', 'Sonoya Mizuno', 'Tim James', 'Simeon Freeman', 'James Yaegashi', 'Dean Grimes', 'Alexa Mansour', 'Martha B. Knighton', 'Melissa Saint-Amand', 'Karl Glusman', 'Jin Ha', 'Jojo T. Gibbs', 'Jared Shaw', 'Justin Garza', 'Brian Philpot', 'Tywaun Tornes', 'Juani Feliz', 'Jesse Plemons', 'John Newberg', 'Kevin Howell', ""Ernest 'Scooby' Rogers"", 'Robert Perry Bierman', 'Joe Manuel Gallegos Jr.', 'Christopher Cocke', 'Ryan Austin Bryant', 'Jeff Bosley', 'Brent Moorer Gaskins', 'Evan Holtzman', 'Lauren Marie Gordon', 'Kevin Kedgley', 'Timothy LaForce', 'Cora Maple Lindell', 'Cody Marshall', 'Randy S. Love', 'Petey Nguyễn', 'LePrix Robinson', 'Kim Rosen', 'Daniel Patrick Shook', 'Robert Tinsley', 'Jaclyn White', 'Temper Lavigne']",3.7,nan,"['Drama', 'War', 'Action']",109,"['Finland', 'UK']",English,['English'],"['DNA Films', 'IPR.VC']",413681,91503,130884,1500,1390,3165,3471,12335,18240,48724,73175,124058,49989,33909,368456,https://letterboxd.com/film/civil-war-2024/
Monkey Man,2024,Dev Patel,"['Dev Patel', 'Pitobash', 'Jatin Malik', 'Adithi Kalkunte', 'Sikandar Kher', 'Makrand Deshpande', 'Ashwini Kalsekar', 'Vipin Sharma', 'Sobhita Dhulipala', 'Jomon Thomas', 'Pehan Abdul', 'Brahim Achabbakhe', 'Suhaimi', 'Vijay Kumar', 'Jino A. Samuel', 'Kalih Dewantoro', 'Alan Jiraiya', 'Baby Tamba', 'Abhiram Reddam', 'Harshit Mahawar', 'Winai Wiangyangkung', 'Dayangku Zyana', 'Christopher Oba Warella', 'Fahad Scale', 'Reva Marchellin', 'Pehan Meutuah Abdul', 'Teddy Khannayan', 'Renren Subramany', 'Sharlto Copley', 'Zakir Hussain', 'Agus Mulana', 'Quraish Aattamimi']",3.76,nan,"['Thriller', 'Action']",121,"['Canada', 'Singapore', 'USA']",English,"['English', 'Hindi']","['Thunder Road', 'Bron Studios', 'Monkeypaw Productions', 'Minor Realm', 'Creative Wealth Media Finance', 'WME Independent', ""S'YA Concept""]",314428,68915,119986,2200,411,1052,1276,5451,10281,35918,59705,93734,37963,34549,280340,https://letterboxd.com/film/monkey-man/
Love Lies Bleeding,2024,Rose Glass,"['Kristen Stewart', ""Katy O'Brian"", 'Ed Harris', 'Dave Franco', 'Jena Malone', 'Anna Baryshnikov', 'Orion Carrington', 'Eldon Jones', 'Catherine Haun', 'Matthew Blood-Smyth', 'Keith Jardine', 'Jerry G. Angelo', 'Tait Fletcher', 'Jamie Javier Guerreo', 'Roger Ivens', 'Kim S. Monti', 'David DeLao', 'Mikandrew', 'Hilary Fleming', 'Lontrell Anderson']",3.65,nan,"['Romance', 'Thriller', 'Crime']",104,"['UK', 'USA']",English,['English'],"['Film4 Productions', 'Escape Plan', 'A24', 'Lobo Films']",260515,71467,93821,2100,735,1501,1565,6085,9732,31000,49774,74115,26724,25417,226648,https://letterboxd.com/film/love-lies-bleeding-2024/
Problemista,2023,Julio Torres,"['Julio Torres', 'Tilda Swinton', 'RZA', 'Isabella Rossellini', 'Catalina Saavedra', 'James Scully', 'Greta Lee', 'Laith Nakli', 'Larry Owens', 'Greta Titelman', 'Spike Einbinder', 'Jason Furlani', 'Miles G. Jackson', 'Paul Cooper', 'Bardia Salimi', 'Roman Maldonado', 'Ruba Thérèse Mansouri', 'Cristina Madalina Kissler', 'Jack P. Raymond', 'Theo Maltz', 'Logan J. Alarcon-Poucel', 'Sheila Moikangoa', 'Shakina Nayfack', 'Kelly McCormack', 'Megan Stalter', 'Glo Tavarez', 'Eudora Peterson', 'Ronald Peet', 'Sandra Caldwell', 'Jordan Mendoza', 'Charlene Incarnate', 'Amy Zimmer', 'Brian Belovitch', 'Carlos E. Navedo']",3.87,nan,['Comedy'],104,['USA'],English,"['English', 'Spanish']",['Fruit Tree'],52341,18355,22946,495,66,155,175,604,1084,3979,7915,14911,7272,7590,43751,https://letterboxd.com/film/problemista/
About Dry Grasses,2023,Nuri Bilge Ceylan,"['Deniz Celiloğlu', 'Merve Dizdar', 'Musab Ekici', 'Ece Bağcı', 'Erdem Şenocak', 'Yüksel Aksu', 'Münir Can Cindoruk', 'Onur Berk Arslanoğlu', 'Yıldırım Gücük', 'Cengiz Bozkurt', 'S. Emrah Özdemir', 'Elif Ürse', 'Elit Andaç Çam', 'Nalan Kuruçim', 'Ferhat Akgün', 'Eylem Canpolat']",3.99,nan,['Drama'],197,"['France', 'Germany', 'Sweden', 'Turkey']",Turkish,['Turkish'],"['NBC Film', 'Memento Films Production', 'Komplizen Film', 'Second Land', 'Film i Väst', 'ARTE France Cinéma', 'BR', 'Playtime', 'TRT Sinema']",39053,11383,10335,183,89,189,169,579,895,3257,5133,11056,5163,3648,30178,https://letterboxd.com/film/about-dry-grasses/
Io Capitano,2023,Matteo Garrone,"['Seydou Sarr', 'Moustapha Fall', 'Issaka Sawadogo', 'Hichem Yacoubi', 'Doodou Sagna', 'Khady Sy', 'Venus Gueye', 'Cheick Oumar Diaw', 'Joe Lassana', 'Mamadou Sani', 'Bamar Kane', 'Beatrice Gnonko', 'Flaure B.B. Kabore', 'Affif Ben Badra', 'Observateur Ebène', 'Jacky Zappa', 'Abdellah Elbkiri', 'Bidar Abdelahad', 'Mohamed Amine Kihel', 'Mouhamed Gaye', 'Cheikh Ndiaye', 'Babacar Diop', 'Emilie Adams', 'Princess Erika', 'Mariam Kaba', 'Aly Niang', 'Taha Benaim', 'Didier Njikam', 'Ibrahima Gueye']",3.82,nan,"['Adventure', 'Drama']",121,"['Belgium', 'France', 'Italy']",Italian,"['Italian', 'English', 'French', 'Wolof']","['Archimede', 'RAI Cinema', 'Tarantula', 'Pathé', 'Logical Content Ventures']",48208,19523,13512,68,44,122,186,682,1335,4876,9099,14787,4856,4283,40270,https://letterboxd.com/film/io-capitano/
Hundreds of Beavers,2022,Mike Cheslik,"['Ryland Brickson Cole Tews', 'Wes Tank', 'Olivia Graves', 'Doug Mancheski', 'Luis Rico', 'Mike Cheslik', 'Jessica Knap', 'Brendan Steere', 'Jon Truei']",4.14,nan,"['Adventure', 'Comedy', 'Action']",108,['USA'],English,['English'],['SRH'],24828,9989,12555,523,70,127,106,272,402,1220,2239,6043,4856,5755,21090,https://letterboxd.com/film/hundreds-of-beavers/
The Promised Land,2023,Nikolaj Arcel,"['Mads Mikkelsen', 'Amanda Collin', 'Simon Bennebjerg', 'Kristine Kujath Thorp', 'Gustav Lindh', 'Jacob Ulrik Lohmann', 'Morten Hee Andersen', 'Magnus Krepper', 'Søren Malling', 'Morten Burian', 'Thomas W. Gabrielsson', 'Morten Buus', 'Olaf Højgaard', 'Melina Hagberg', 'Felix Kramer', 'Laura Bilgrau Eskild-Jensen', 'Anna Filippa Hjarne', 'Jiří Konvalinka', 'Martin Feifel', 'Lasse Steen Jensen', 'Nanna Finding Koppel', 'Finn Nielsen', 'Michael Brostrup', 'Joen Højerslev', 'Patricie Šlaufová', 'Jan Jankovský', 'Josef Berousek', 'Ivo Hanel', 'Kristián Černík', 'Lise Risom Olsen', 'Nikol Kouklová', 'Hans Christian Lundgren', 'Arved Friese', 'Zdenek Brüna', 'Zdeněk Dvořáček', 'Martin Navrátil', 'Adam Pengsawang', 'Tomáš Tobola', 'Karel Heřmánek']",3.91,nan,"['History', 'Drama']",127,"['Denmark', 'Germany', 'Norway', 'Sweden']",Danish,"['Danish', 'German', 'Swedish', 'Norwegian']","['Zentropa International Berlin', 'Zentropa International Sweden', 'Nordisk Film & TV Fond', 'Zentropa Entertainments', 'Film i Väst', 'Plaion Pictures', 'SVT']",32674,11429,10520,99,18,43,81,333,667,2705,5999,11384,3867,2466,27563,https://letterboxd.com/film/the-promised-land-2023/
The Fall Guy,2024,David Leitch,"['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson', 'Hannah Waddingham', 'Teresa Palmer', 'Stephanie Hsu', 'Winston Duke', 'Ben Knight', 'Matuse Paz', 'Adam Dunn', 'Zara Michales', ""Ioane Sa'ula"", 'Gregory J. Fryer', 'Madeleine Wilson', 'Kalkidan China', 'Angela Nica Sullen', 'Di Smith', ""Megan O'Connell"", 'Jack Doherty', 'Tony Lynch', 'Georgia Nottage', 'David Collins', 'Semu Filipo', 'Andrew Owen', 'Dan Reardon', 'Marky Lee Campbell', 'Chris Matheson', 'Nathan Langworthy', 'Tim Franklin', 'Scott Johnson', 'Beth Champion', 'Emily Havea', 'Lawrence Ola', 'Cassandra Sorrell', 'Ben Gerrard', 'Diego Retamales', 'Simon McLachlan', 'Alex Lee', 'Andy Ryan', 'Lee Majors', 'Heather Thomas', 'Jason Momoa', 'Daniel Nelson', 'Charlotte Wood', 'Madeleine Jones', 'Theodore Avery', 'Nova Onas', 'Nathan Bates', 'Shakriya Tarinyawat', 'Luisa Mariano', 'Tahlia Crinis', 'Martin Cohen', 'Georgia Willett', 'Robert McFarlane', 'Yoji Tatsuta']",3.55,nan,"['Action', 'Comedy']",126,['USA'],English,"['English', 'French']","['87North Productions', 'Entertainment 360', 'Universal Pictures']",242019,61138,87480,947,536,1269,1616,6282,11467,35876,57094,63849,18662,20662,217313,https://letterboxd.com/film/the-fall-guy-2024/
One Life,2023,James Hawes,"['Anthony Hopkins', 'Johnny Flynn', 'Lena Olin', 'Romola Garai', 'Alex Sharp', 'Jonathan Pryce', 'Helena Bonham Carter', 'Juliana Moska', 'Ziggy Heath', 'Marthe Keller', 'Tim Steed', 'Matilda Thorpe', 'Samantha Spiro', 'Adrian Rawlins', 'Tom Glenister', 'Michael Gould', 'Samuel Finzi', 'Jiří Šimek', 'Ffion Jolly', 'Simon Thorp', 'Emily Laing', 'Henrietta Garden', 'Anna Darvas', 'Jonathan Tafler']",3.66,nan,"['Drama', 'History', 'War']",109,['UK'],English,"['English', 'German', 'French', 'Czech']","['See-Saw Films', 'BBC Film']",52964,12403,14890,107,36,99,157,717,1743,7776,11221,15040,4204,5749,46742,https://letterboxd.com/film/one-life-2023/
Late Night with the Devil,2023,"Cameron Cairnes, Colin Cairnes","['David Dastmalchian', 'Laura Gordon', 'Ian Bliss', 'Fayssal Bazzi', 'Ingrid Torelli', 'Rhys Auteri', 'Georgina Haig', 'Josh Quong Tart', 'Steve Mouzakis', 'Paula Arundell', 'Tamala Shelton', 'Christopher Kirby', 'Gaby Seow', 'Elise Jansen', ""John O'May"", 'Clare Chihambakwe', 'Amelie Mendosa', 'Grace Cummings', 'Michael Ironside', 'Andre Switzer', 'Declan Fay', 'Milena Berhane', 'Leah Wilbraham', 'Chase Kauffman', 'Miranda Bloom', 'Mitchell Brotz', 'Caspian Dezfouli', 'Rod Lara', 'Nicole Chapman', 'Steven Kwon', 'Imaan Hadchiti', 'Farhad Zaiwala', 'Jarrad Pidoto', 'Paddy Shiels', 'Aya Cairnes', 'Gerasimos Grammenos', 'Pearl Grammenos', 'Adam Batt', 'Raoul Salter', 'Janine Lum', 'Rik Brown', 'Scarlett Varga', 'Sarah Lorey', 'Tiare Skeats', 'Anna van Guens', 'Arkie Simpson-Purdon', 'Daisy Anderson', 'Joel Anderson', 'Miles Brown', 'Scott Purdon', 'Quincy Simpson-Purdon', 'Jason Rout', 'Jeff Schwisow', 'Michael McArthur', 'Jason Marion', 'Angus Neale', 'Julia Pretto', 'John Leary', 'Déborrah Moogy Morgan']",3.44,nan,['Horror'],93,"['Australia', 'United Arab Emirates', 'USA']",English,['English'],"['Spooky Pictures', 'Future Pictures', 'Good Fiend Films', 'Image Nation Abu Dhabi', 'VicScreen', 'AGC Studios']",281468,58058,85728,775,2358,2622,2722,10155,16238,48453,60804,68695,19497,15717,247261,https://letterboxd.com/film/late-night-with-the-devil/
Kingdom of the Planet of the Apes,2024,Wes Ball,"['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy', 'Eka Darville', 'Travis Jeffery', 'Neil Sandilands', 'Sara Wiseman', ""Ras-Samuel Welda'abzgi"", 'Lydia Peckham', 'Dichen Lachman', 'Nina Gallas', 'Karin Konoval', 'Samuel Falé', 'Olga Miller', 'Dmitriy Miller', 'Frances Berry', 'Zay Domo Artist', 'Andy McPhee']",3.47,nan,"['Adventure', 'Science Fiction', 'Action']",145,['USA'],English,['English'],"['20th Century Studios', 'Oddball Entertainment', 'Jason T. Reed Productions']",137002,44802,43101,228,306,663,847,3486,6640,22927,37578,37591,8124,4604,122766,https://letterboxd.com/film/kingdom-of-the-planet-of-the-apes/
